judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
Pengaruh Bauran Pemasaran Terhadap Keputusan Wisatawan Dalam Mengunjungi Objek Pariwisata Di Kawasan Kakek Bodo-Pasuruan,Penulis : EVA APRILIA ANGGRAINI,"Dosen Pembimbing I : Dr. Drs. Ec. H. Muh. Syarif, M.Si.","Dosen Pembimbing II :Yustina Chrismardani, Ssi., MM","ABSTRAK

EVA APRILIA ANGGRAINI, “Pengaruh Bauran Pemasaran Terhadap Keputusan Wisatawan Dalam Mengunjungi Objek Pariwisata Di Kawasan Kakek Bodo-Pasuruan”.Dibawah bimbingan Dr. H. Muh. Syarif, Drs. Ec., M.Si dan Yustina Chrismardani, SSI., MM.
Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel bauran pemasaran yang terdiri dari produk, tempat, harga, promosi, orang, bukti fisik dan proses terhadap keputusan wisatawan dan untuk mengetahui variabel bauran pemasaran yang berpengaruh paling dominan terhadap keputusan wisatawan berkunjung di wisata Air Terjun Kakek Bodo.
Pendekatan penelitian yang digunakan dalam penelitian ini adalah kuantitatif, Sampel dalam penelitian ini adalah Pengunjung Objek Wisata Air Terjun Kakek Bodo yang berjumlah 97 responden. Metode pengambilan sampel yang digunakan adalah Accidental Sampling. Untuk pengujian instrumen menggunakan uji validitas dan reliabilitas, sedangkan teknik analisis data yang digunakan untuk menguji hipotesis adalah menggunakan analisis deskriptif dan regresi linier berganda dengan memakai uji F (simultan) dan uji t (parsial).
Berdasarkan hasil penelitian menunjukkan bahwa nilai adjusted R Square sebesar 0,565 yang berarti besarnya pengaruh variabel bebas terhadap variabel terikat adalah 56,5%, sedangkan sisanya 43,5% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini. Berdasarkan uji F bauran pemasaran yang terdiri dari produk, tempat, harga, promosi, orang, bukti fisik dan proses secara simultan berpengaruh signifikan terhadap keputusan wisatawan berkunjung di wisata Air Terjun Kakek Bodo. Berdasarkan uji t diketahui bahwa bauran pemasaran yang terdiri dari produk, tempat, bukti fisik dan proses berpengaruh signifikan terhadap keputusan wisatawan berkunjung di wisata Air Terjun Kakek Bodo hanya saja pengaruh variabel harga, promosi, orang, tidak signifikan. Variabel yang berpengaruh dominan adalah variabel proses.
Kata kunci :Bauran Pemasaran Jasa, produk, tempat, harga, promosi, orang, bukti fisik dan proses, dan keputusan wisatawan.

","ABSTRACT
Eva Aprilia Anggraini, "" The Influence Of Marketing Mix Towards The Decisions To Visit Kakek Bodo- A Tourism Object In Pasuruan”. Under the guidance of Dr. H. Muh. Sharif, Drs. Ec., M.Si and Yustina Chrismardani, SSI., MM.
The purpose of this study was to determine the effect of the marketing mix variables, consisting of product, place, price, promotion, people, physical evidence and process towards the tourist's decision and to determine the marketing mix variables the most dominant influence on the decisions of tourists visiting in Waterfalls Grandfather Bodo. To determine the marketing mix variables which had a dominance influence towards the decision to visit Kakek Bodo.
The research approach used in this study was a quantitative, research the sample in this study were the visitor of Kakek Bodo which was 97 respondents. The sampling method used was accidental sampling. To test the instrument used the validity and reliability, analisis while the data analysis techniques used to test the hypothesis war to use descriptive analysis and multiple linear regression using the F test (simultaneous) and t test (partial).
Based on the results of the study showed that the adjusted R Square of 0.565 which means that the influence of independent variables on the dependent variable was 56.5%, while the remaining 43.5% was influenced by other variables which was not examined in this study. Based on the F test, marketing mix variables consisting of product, place, price, promotion, people, physical evidence and process had a significant influence towards the decisions of tourists visiting in Kakek Bodo. Based on t-test was knows that the marketing mix, process had a significant effect on the decision of tourists visiting in Kakek Bodo.
Keywords: Services Marketing Mix, product, place, price, promotion, people, physical evidence and process, the tourist decision the decision tourists.

"
Pengaruh Imbalan dan Prestasi Kerja Terhadap Kepuasan kerja Karyawan Pada PT. Mitra Pinasthika Mustika Di Sidoarjo,Penulis : ERNAWATI,"Dosen Pembimbing I : Dr. Muh. Alkirom Wildan SE, MSi","Dosen Pembimbing II :Dr. Raden Mas Wispandono SE, MSi","ABSTRAK
Ernawati 100211100002. Pengaruh Imbalan dan Prestasi Kerja Terhadap Kepuasan kerja Karyawan Pada PT. Mitra Pinasthika Mustika Di Sidoarjo. Dibimbing oleh Dr. Muh. Alkirom Wildan SE, MSi dan Dr. Raden Mas Wispandono SE, MSi
	Tujuan penelitian ini adalah untuk mengetahui apakah terdapat pengaruh  yang signifikanan antara imbalan dan prestasi kerja terhadap kepuasan kerja karyawan pada PT. Mitra pinasthika mustika di  sidoarjo secara simultan dan dominan. Penelitian ini dilakukan di PT. Mitra Pinasthika Mustika di  sidoarjo. Penelitian ini bersifat penelitian populasi banyaknya populasi pada penelitian ini adalah 58 responden. Uji kuesioner   yang digunakan adalah uji validitas dan uji reliabilitas. Teknik analisis data menggunakan analisis regresi linier berganda, uji t, ujiF dan koefisien determinasi.
	Hasil dalam penelitian ini menyatakan bahwa berdasarkan uji F, variable imbalan dan prestasi kerja memiliki pengaruh yang positif terhadap kepuasan kerja karyawan. Kemudian berdasarkan uji t, variable imbalan (X1) dan prestasi kerja (X2) Secara parsial berpengaruh secara signifikan terhadap kepuasan kerja karyawan   PT. Mitra Pinasthika Mustika. Kedua variable tersebut,  prestasi kerja merupakan variabel yang memiliki pengaruh paling kuat terhadap kepuasan kerja karyawan PT Mitra Pinasthika Mustika.
Kata kunci :Imbalan, Prestasi Kerja, Kepuasan Kerja
","ABTRACT
Ernawati 100211100002. The Influence of rewards and work performance on jab satisfaction of PT. Mitra Pinasthika Mustika employess in Sidoarjo. Advisor I: Dr. Muh. Alkirom Wildan SE, MSi. Advisor II: Dr. Raden Mas Wispandono SE, MSi.

The purpose of this study is to determine whether there is a significant influence between rewards and work performance on PT. Mitra pinasthika mustika employess in sidoarjo both simultaneously and dominantly. The study is conducted at PT. Mitra Pinasthika Mustika sidoarjo. The study belongs to population research and the number of population is 58 respondents. Questionnaire test used is reliability and validity test. Data analysis technique applied is determination coefficient, F, test, t test and multiple linear regressions. 
The result of the study states that based on F test, rewards and work performance variable has positif influence on employees’ work performance. Then, the t test, rewards variable (X1) and work performance (X2) partially and significantly influence the employees work performance of PT. Mitra Pinasthika Mustika. Between both variables, work performance variable has the strongest influence on employees work performance of PT Mitra Pinasthika Mustika.

Keywords: Rewards, Work Performance, work satisfaction.






"
,,,,,
,,,,,
Pengaruh Faktor Stres Kerja dan Motivasi Kerja Terhadap Kinerja Karyawan PT. Petrocentral Gresik,Penulis : M.Choirul Hadi Addaniyal,"Dosen Pembimbing I : Dra. Hj. S. Anugrahini Irawati, MM","Dosen Pembimbing II :Drs. Ec. Mudji Kuswinarno, M.Si","Dalam persaingan dunia kerja setiap perusahaan tentu dihadapkan berbagai tuntutan untuk dapat menjadi yang lebih baik. Hal tersebut dietahui sebuah tuntutan merupakan tantangan bagi perusahaan dalam menjalankan suatu usaha yang telah dibangun. Salah satu cara yaitu diperlukan langkah dan strategi yang dapat mendukung usaha tersebut untuk memberikan pengaruh hasil positif. 
	Tujuan penelitian ini adalah untuk mengetahui apakah faktor stres kerja dari kondisi intrinsik kerja, peran kerja individu, pengembangan karir, hubungan pekerjaan, struktur organisasi dan tuntutan luar kerja berpengaruh terhadap kinerja karyawan PT. Petrocentral Gresik, apakah motivasi kerja berpengaruh terhadap kinerja karyawan PT. Petrocentral Gresik, diantara variabel faktor stres kerja dan motivasi kerja manakah yang berpengaruh dominan secara keseluruhan terhadap kinerja karyawan PT. Petrocentral Gresik.
	Penelitian ini menggunakan pendekatan deskriptif kuantitatif. Teknik yang digunakan untuk menentukan sampel yaitu metode random sampling dengan jumlah populasi karyawan tetap sebagai sumber informasi sebesar 35 responden. Analisis data yang digunakan adalah regresi berganda dan untuk melakukan pengujian hipotesis berupa uji t, uji F dan R2 koefisien determinasi.
	Hipotesis variabel faktor stres kerja dan motivasi kerja berpengaruh signifikan terhadap kinerja karyawan. Selain itu variabel yang tidak tebukti berpengaruh dominan pada faktor stres kerja adalah hubungan kerja sebagai dugaan sementara untuk penelitian ini. 
	Kesimpulan penelitian ini adalah keseluruhan variabel dari faktor stres kerja dan motivasi kerja berpengaruh signifikan terhadap kinerja karyawan. Untuk variabel dominan dari keseluruhan adalah motivasi kerja dan dominan dari faktor stres kerja adalah kondisi intrinsik kerja. Hubungan pengaruh dari variabel yang dilakukan penelitian menunjukkan sebesar 90,7% dan sisa di luar penelitian 9,3%.

Kata kunci : Faktor stres kerja (Kondisi intrinsik kerja, Peran kerja individu, Pengembangan karir, Hubungan pekerjaan, Struktur organisasi, Tuntutan luar kerja) Motivasi kerja, Kinerja karyawan
","In the competitive world of business each company faced with a range of demands in order to become better. It’s known a demand is a challenge for the company to run a business that has been built. One way is necessary steps and strategies that can support the effort to have a positive influence.
	The purpose of this research was to determine whether job stress factor of intrinsic conditions of work, the role of individual work, career development, employment relations, organizational structure and outside work demands work effect on employee performance. Whether the work motivation affect the performance of employee. Variable between work stress factor and motivation which overall the dominant influence on the performance of employees.
	This research used descriptive quantitative approach. Techniques used to determine the sample is random sampling method with a population of permanent employess as a source of information by 35 respondents. The data analysis used is multiple regression and to test hypothesis in the form of t-test, F test and R2 coefficient of determine.
	Variable hypothesis work stress faktor and motivation work have significant effect on the performance of employee. On the other variable that are not proven dominant influence on work stress factor is labour relations as alleged while for research.
	The overall conclusion of the research for the variable of work stress factor and motivation work have significant effect on the performance employee. The dominant variable is the overall motivation and dominant of work stress factor are intrinsic working conditions the relationship of the variables that influence the research conducted show of 90,7% and the remaining 9,3% outside research.   

Keyword : Work Stress Factor (Intrinsic Conditions of Work, The Role of Individual Work, Career Development, Employment Relations, Organizational Structure, Demands Outside of Work) Work Motivation, Employee Performance.
"
,,,,,
"PENGARUH BAURAN PROMOSI TERHADAP KEPUTUSAN BERKUNJUNG
WISATAWAN DI PANTAI LOMBANG KABUPATEN SUMENEP",Penulis : Ach Choirul Ramadani,Dosen Pembimbing I : Nurita Andriani,Dosen Pembimbing II :Yustina Crismardani,"Ach Choirul Ramadani, Pengaruh Bauran Promosi Terhadap Keputusan Berkunjung
Wisatawan Di Pantai Lombang Kabupaten Sumenep di bawah bimbingan Dr. Ir. Nurita
Andriani, MM dan Yustina Chrismardani, S.Si., MM
Penelitian ini bertujuan untuk mengetahui pengaruh masing-masing variabel bauran promosi
terhadap keputusan berkunjung pada wisatawan yang berkunjung di Pantai Lombang selain
itu bertujuan untuk mengidentifikasi variabel bauran promosi manakah yang dominan
mempengaruhi keputusan berkunjung wisatawan di Pantai Lombang. Penggunaan data
dalam analisis ini adalah data riset lapangan yang dilakukan dengan cara wawancara dan
penyebaran kuesioner kepada konsumen.
Teknik analisis yang digunakan dalam penelitian ini yaitu analisis deskriptif yang diperoleh
dari responden dan dinyatakan dalam bentuk tabulasi. Untuk mengetahui hubungan antara
variabel dependen dengan variabel independen digunakan analisis regresi linear berganda.
Dengan jumlah sampel dalam penelitian ini sebanyak 97 responden. Teknik pengambilan
sampel yang digunakan pada penelitian ini dengan metode non probability sampling dengan
teknik purposive sampling.
Hasil penelitian menunjukkan bahwa variabel advertising, sales promotion, public relation
and publicty, dan direct marketing berpengaruh pada kunjungan wisatawan. Sedangkan
hasil hitung R2 hanya menghasilkan 96% hanya berpengaruh kecil terhadap keputusan
konsumen, selebihnya 1 % dipengaruhi oleh variabel lain yang tidak dijelaskan dalam
penelitian ini.
Kata kunci : Bauran Promosi, periklanan, promosi penjualan, humas dan publikasi,
pemasaran langsung, keputusan berkunjung","Ach Choirul Ramadani, the Effect of the promotion mix decisions visiting tourists to Lombang
Beach. (1 ); Dr. Ir. Nurita Andriani, MM (2); Drs. Mohamad Tambrin, MM.
This study aims to know the effect of each promotion mix variable on the decision to visit of
tourists who visit Lombang Beach and to identify which promotion mix variable that has
dominant effect on the decision to visit of the tourists who visit Lombang Beach. The use of
data in this study is field research data that conducted through interviews and questionnaires
to consumers.
Technique of analysis that used in this study is descriptive analysis that obtained from
respondents and expressed in tabular form. To determine the relationship between
dependent variables and independent variables, multiple linear regression analysis is used.
With the total sample in this study are 97 respondents. Sampling technique used in this
study is non probability sampling method with purposive sampling technique.
The results of the study show that the variables of advertising, sales promotion, public
relation and publicity, and direct marketing have an effect on the tourists visit. Meanwhile,
the calculation results of R2 only produce 96% which means that they have a small effect on
consumers’ decision, the remaining of 1 % is influenced by other variables that are not
described in this study
Keywords: Promotion mix, advertising, sales promotion, public relation and publicity, direct
marketing, decision to visit"
Pengaruh Ekuitas Merek Terhadap Keputusan Pembelian Handphone Blackberry (Studi Pada Mahasiswa Universitas Trunojoyo Madura),Penulis : NUR HALIMAH,"Dosen Pembimbing I : Dr. H. Pribanus Wantara, Drs., MM","Dosen Pembimbing II :Suyono SE., MSM","ABSTRAK
Tujuan dari penelitian ini adalah (1) untuk mengetahui pengaruh elemen-elemen ekuitas merek yang terdiri dari kesadaran merek (Brand Awareness), asosiasi merek (Brand Assocations), kesan kualitas (Perceived Quality), dan loyalitas merek (Brand Loyalty) secara simultan terhadap keputusan pembelian. (2) untuk mengetahui dari empat variabel ekuitas merek, variabel manakah yang dominan memberikan pengaruh terhadap keputusan pembelian handphone Blackberry.
Penelitian ini menggunakan pendekatan kuantitatif yang berusaha untuk mengetahui bagaimana pengaruh ekuitas merek terhadap keputusan pembelian handphone Blackberry (Studi Pada Mahasiswa Universitas Trunojoyo Madura).Teknik pengambilan sampel menggunakan purposive sampling dengan 50 responden.Teknik pengumpulan data yaitu dengan
wawancara, kepustakaan, dan kuesioner dan menggunakan skala likert untuk mengukur jawaban responden.Untuk menguji instrumen menggunakan uji validitas, uji reliabilitas, dan uji asumsi klasik.Sedangkan teknik analisis data yaitu menggunakan analisis regresi linier berganda karena variabel yang digunakan lebih dari dua variabel, dengan uji F dan uji t.
Hasil penelitian ini menunjukkan bahwa variabel ekuitas merek yang terdiri dari kesadaran merek, kesan kualitas, asosiasi merek dan loyalitas merek berpengaruh secara simultan terhadap keputusan pembelian handphone Blackberry (Studi Pada Mahasiswa Universitas Trunojoyo Madura).Variabel loyalitas merek berpengaruh dominan terhadap keputusan pembelian.","ABSTRACT
The objectives of this research (1) to know The influence of brand equity which consist of Brand Awareness, Brand Association, Perceived Quality, Brand Loyalty simultaneously to buying decision handphone Blackberry at students University Of Trunojoyo Madura, (2) to know brand equity variables has dominant effect to buying decision handphone Blackberry at students University of Trunojoyo Madura.
This research is quantitative research approach which tried to know how the influence of brand equity to buying decision handphone Blackberry at Students University Of Trunojoyo Madura. Sampling has been developed through purposive sampling, resulting 50 respondents. The technique of gathered data there are interview, literature, and questionaire, and 5-point Likert Scale to measure the respondent’s answer. To test instrument used validities test, reliablities tes, and classical assumption test. While the technique of data analysis used double linier regression because which is used more than two variable with F test and t test.
The result of this research shows that the brand equity which consist of brand awareness, brand association, perceived quality, brand loyalty have effect simultaneously to buying decision handphone Blackberry at students university of Trunojoyo Madura. The variable of brand loyalty has dominant effect to buying decision handphone Blackberry."
,,,,,
Pengaruh Prokrastinasi Akademik Terhadap Penyelesaian Penulisan Skripsi Pada Mahasiswa Semester Akhir Universitas Trunojoyo Madura”. ,Penulis : Wahyudi,"Dosen Pembimbing I : Drs. Ec. Mudji Kuswinarno, M.Si.","Dosen Pembimbing II :Faidal, S.E.,MM.","Tujuan penelitian ini adalah untuk mengetahui apakah Prokrastinasi Akademik secara parsial dan simultan berpengaruh positif dan signifikan terhadap Penyelesaian Penulisan Skripsi pada mahasiswa semester akhir Universitas Trunojoyo Madura, dan untuk mengetahui variabel (X) yang dominan berpengaruh terhadap Variabel (Y)
Hasil penelitian ini menggunakan uji regresi linier berganda dengan jumlah sampel sebanyak 100 orang dari angkatan 2010 sampai dengan 2012 dari seluruh fakultas di Universitas Trunojoyo Madura. Berdasarkan uji regresi linier berganda ditemukan bahwa takut gagal menunjukkan hasil perhitungan uji t adalah t hitung (5,311) > t tabel (1,65) dengan nilai signifikansi 0,000 < 0,05. Tidak menyukai tugas t hitung (2,678) > t tabel (1,65) dengan signifikansi 0,009 < 0,05, dan Ketergantungan pada orang lain t hitung (6,658) > t tabel(1,65) dengan nilai signifikansi 0,000 < 0,05. Maka dari rincian diatas variabel  Prokrastinasi akademik   secara parsial berpengaruh positif dan signifikan terhadap penyelesaian penulisan skripsi. Kemudian berdasarkan Uji F menunjukkan F hitung (95,213) > F tabel (2,70) maka dapat disimpulkan bahwa variabel faktor prokrastinasi akademik secara bersama sama berpengaruh positif dan signifikan terhadap penyelesaian penulisan skripsi. Dilihat dari nilai Beta ketiga variabel, variabel Ketergantungan pada orang lain mempunyai nilai Beta tertinggi yaitu 0,455 sehingga dapat disimpulkan variabel Ketergantungan pada orang lain bepengaruh dominan terhadap penyelesaian penulisan skripsi. 

Kata Kunci: Prokrastinasi akademik, Penulisan Skripsi
","The purposes of this study is to determine whether the reasons of academic procrastination variable have  positive and significant effect on the completion of study variable partially and simultaneously; and to determine which  the dominant variable has effect on the completion of study variable. 
This research used quantitative methods that the amount of samples  as 100 students  were obtained using the Slovin formula.  It’s used 2010-2012 periods. This research was analyzed using multiple linear regression analysis. Testing the the research instruments, using classical assumption test, and analysis technique to test hypothesis using F test and t test.
Data is obtained from the process Interviews, observations, and questionnaires which distributed to the respondents.  . Using this method, the results indicate that: 1) the reasons of procrastination variable have positive and significant effect on the completion of study variable simultaneously.  Furthermore, 2) the reasons of procrastination variable have positive and significant effect on the completion of study variable partially. Then the dominant variable that effecting on the completion of study variable  is dependence on others variable. Its can be seen from the value of Beta coefficient as 0.455 greaters

Keywords:  Academic Procrastination,  completion of study.

"
"Pengaruh Bauran Pemasaran Jasa Terhadap Keputusan Untuk Memilih Mi Nurul Huda Desa Pagar Batu, Kecamatan Saronggi",Penulis : Yogi Grantiyono,"Dosen Pembimbing I : Nirma Kurriwati, SP., M. Si","Dosen Pembimbing II :Suyono, SE ., MSM","ABSTRAK

Yogi Grantiyono. 2014. “Pengaruh Bauran Pemasaran Jasa Terhadap Keputusan Untuk Memilih Mi Nurul Huda Desa Pagar Batu, Kecamatan Saronggi”. Skripsi. Fakultas Ekonomi Universitas Trunojoyo Madura. Dosen Pembimbing I: Nirma Kurriwati, SP., M. Si. Dosen Pembimbing II: Suyono, SE ., MSM.

Tujuan dari penelitian ini adalah untuk mengetahui pengaruh enam variable bauran pemasaran yang saya pakai yang terdiri dari products, place, promotion, people, physical evidence, dan process secara simultan dan secara parsial terhadap keputusan memilih pada MI Nurul Huda di Desa Pagarbatu, Kecamatan Saronggi, Kabupaten Sumenep.
.
Penelitian ini menggunakan metode kuantitatif. Populasi penelitian ini adalah seluruh wali murid MI Nurul Huda dari kelas 1-6. Teknik sampling yang digunakan adalah Purposive Sampling karena menetapkan sampel secara acak yang akan dipakai untuk penelitian sesuai dengan kriteria. Jumlah sampel yang digunakan dalam penelitian ini adalah 126 responden. Teknik analisis data dalam penelitian ini menggunakan analisis regresi linier berganda Hasil penelitian ini menunjukkan bahwa variabel products, promotion, dan physical evidence berpengaruh secara simultan dan parsial terhadap keputusan memilih MI Nurul Huda. Variabel products berpengaruh dominan terhadap keputusan memilih MI Nurul Huda.

Kata Kunci : bauran pemasaran, products, place,  promotion, people, physical evidence, process, dan keputusan memilih.
","ABSTRACT

Yogi Grantiyono. 2014. “The Influence of Service Marketing Mix in Choosing Mi Nurul Huda Pagar Batu Village, SaronggiDistrict”. A thesis. Faculty of Economic. Univerisity of Trunojoyo Madura. Advisor I: Nirma Kurriwati, SP., M. Si. Advisor II: Suyono, SE ., MSM.

The purpose of this study determined the simultaneously and partially influence of six marketing mix variables used that consist of products, place, promotion, people, physical evidence, dan process in selecting MI Nurul Huda Pagarbatu village, Saronggi district, Sumenep region.

The study applied quantitative method. The population were is all parents of MI Nurul Hudas student from 1-6 class. Sampling technique wes Purposive Sampling because it set the samples randomly that will be used for the research based on the criteria. The total samples used  126 respondents. Data analysis technique applied multiple linear regressions. The result of study shows that products, promotion, dan physical evidence variables simultaneously and partially influence the decisions of selecting MI Nurul Huda. Products variable dominantly influence the decision of selecting MI Nurul Huda.

Keywords: Marketing mix, products, place,  promotion, people, physical evidence, process, and decision to choose.
"
